time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,reward
7.979999999999918,-4.75693054398,-1.56599287753,67.684350257,0.362394272764,0.416103701624,0.0,0.448996191141,-2.32109596363,11.2591381205,28.8405192728,28.831853009,0.0,0.415140258148,899.987977896,-0.618100908368,900.351103328,1.0
8.039999999999917,-4.7558261463,-1.69413995708,68.3663898623,2.09292684575,2.14600959146,0.0,-0.620424201405,-2.03064197287,11.277680309,28.8446365342,28.8316313221,0.0,0.435074100595,899.872750253,0.127056045257,900.372726288,1.0
8.099999999999916,-4.81607649749,-1.83088830917,69.046608029,3.82374947574,3.87584231211,0.0,-1.09059450781,-2.35513435895,11.5320217622,28.8504306475,28.8288484279,0.0,0.239095952833,899.730314332,0.250309400792,900.589875138,1.0
8.159999999999915,-4.84662248544,-1.95775936684,69.7320445187,5.55508579901,5.60588650689,0.0,0.163058461828,-2.14626993237,11.1547074749,28.8623666668,28.8408856321,0.0,0.730305440167,900.427398715,-0.169423849648,901.095336516,1.0
8.219999999999914,-4.82496245098,-2.09885849516,70.4101310741,1.0035213874,1.05327333445,0.0,0.252508441013,-2.30702264368,11.5150341633,28.8570966867,28.8456928508,0.0,0.828033312466,900.420645558,-0.357762533425,900.558282733,1.0
8.279999999999912,-4.84919938259,-2.23200713228,71.0955639717,2.73485422483,2.78410775117,0.0,-1.01757468194,-2.39121111202,11.3414962714,28.8530899792,28.8494711962,0.0,0.814469057325,900.516252036,-0.505944352147,900.460643003,1.0
8.339999999999911,-4.91038986583,-2.37760200384,71.7873806354,4.46578573581,4.51503767089,0.0,-0.707375299665,-2.20649277566,11.6428213418,28.8414756868,28.8478475618,0.0,0.884152598729,900.348501476,-0.14567252024,899.932992524,1.0
8.39999999999991,-4.91333257868,-2.51272688018,72.4696289187,6.19642464479,6.24578533911,0.0,0.442843173648,-2.51896212272,11.3024713563,28.847498071,28.8424826075,0.0,0.520092155933,900.099923725,0.212110632595,900.503315105,1.0
8.459999999999908,-4.89744572487,-2.65943954418,73.1595400295,1.64416358434,1.6931311068,0.0,-0.214503360717,-2.24662567829,11.5576722602,28.8505402798,28.84173045,0.0,-0.0875092389675,900.176464256,0.694001834139,900.533662153,1.0
8.519999999999907,-4.94547641991,-2.80510049983,73.8478721248,3.3752135569,3.42358729046,0.0,-1.13270741296,-2.64619644617,11.5618713182,28.8512706634,28.8397073352,0.0,-0.0205958073779,900.085753005,0.863142913811,900.506359691,1.0
8.579999999999906,-4.99171167224,-2.950631527,74.5466929907,5.10639314681,5.15420476539,0.0,-0.163989891513,-2.21986711019,11.457221741,28.8554638538,28.8489137968,0.0,-0.145362342837,900.616507179,0.197563833388,900.712248787,1.0
8.639999999999905,-4.97421762817,-3.1010503463,75.2308581384,0.554396356293,0.60219740789,0.0,0.455520189123,-2.65498806319,11.5579661181,28.8493622301,28.8584170053,0.0,0.0579038799341,900.91941617,-0.231685489804,900.298759752,1.0
8.699999999999903,-4.97825459323,-3.24891977151,75.9274445067,2.28532693932,2.33366861616,0.0,-0.733947134927,-2.44064741742,11.493128089,28.8480464851,28.8569877283,0.0,-0.870289361096,900.63842982,-0.748440492506,900.361694888,1.0
8.759999999999902,-5.03849953359,-3.40815667745,76.6240590746,4.01614729016,4.06518067103,0.0,-0.97358007077,-2.63379757833,11.8136398523,28.84538699,28.860767693,0.0,-0.281577391532,900.870657012,-0.11866643306,900.251097394,1.0
8.8199999999999,-5.0587429267,-3.55489232781,77.3211742791,5.74679628269,5.79670593656,0.0,0.310050368701,-2.58248797429,11.3795883677,28.8422075864,28.8555116401,0.0,0.314305018845,900.509030729,-0.225686231423,900.138753684,1.0
8.8799999999999,-5.03541732371,-3.71702016991,78.0150699863,1.1940808149,1.2446233221,0.0,0.158906962256,-2.5847484974,11.7548495395,28.8395357136,28.8451890681,0.0,-0.225108568932,900.076969278,-0.0689285033842,900.066329779,1.0
8.939999999999898,-5.06575975652,-3.8717614099,78.713277939,2.92439652646,2.97527997214,0.0,-1.04672924944,-2.7997548229,11.6026466339,28.8371325585,28.8428612954,0.0,-0.231856358487,900.177625505,-0.4648128716,899.997260799,1.0
8.999999999999897,-5.1220836863,-4.03648705304,79.4198696581,4.65468688437,4.70555340052,0.0,-0.520305163324,-2.48083351454,11.7991653339,28.8397809939,28.8290629127,0.0,-0.127529014939,899.500822028,-0.727388076149,900.192503483,1.0
9.059999999999896,-5.11595552717,-4.19423294845,80.1131617542,0.101852930712,0.152080712578,0.0,0.498675533453,-2.88926296531,11.5583395107,28.838279114,28.8277467918,0.0,0.0109362467553,899.727757062,-0.453943860194,900.052590578,1.0
9.119999999999894,-5.1030926414,-4.35975598486,80.8167518232,1.83162917947,1.88198889069,0.0,-0.344302285099,-2.58093435046,11.7208657012,28.8110292964,28.8372603091,0.0,0.179749227628,900.259574006,-0.699983403105,898.642820991,1.0
9.179999999999893,-5.15435502873,-4.52849057942,81.517935013,3.5601580544,3.61213808881,0.0,-1.08507448457,-2.98542977546,11.8173972386,28.8050899163,28.833418076,0.0,0.0874079248089,899.856333764,-0.776426554405,898.926927117,1.0
9.239999999999892,-5.19173524135,-4.69226737272,82.2274870887,5.28873579501,5.34198293669,0.0,0.0273430975289,-2.60923342882,11.572963226,28.8156605717,28.8263461092,0.0,0.342505778147,899.559117338,-0.376348539649,899.608721632,1.0
9.29999999999989,-5.16912035459,-4.86557090836,82.9238773405,0.734713348363,0.788347680145,0.0,0.4307926905,-2.96302274068,11.7947320601,28.8244321524,28.8250487171,0.0,0.725979781976,899.643947982,-0.509424940738,899.843391153,1.0
9.35999999999989,-5.17897767516,-5.03355373224,83.6311065878,2.464391975,2.51780166889,0.0,-0.827771145518,-2.86588838406,11.6695381053,28.8328122779,28.8229696905,0.0,0.666036374894,899.56208776,-0.431368618712,900.096317177,1.0
9.419999999999888,-5.23797258688,-5.21458326623,84.3404747969,4.19464490676,4.24715366401,0.0,-0.835986469063,-2.90419394613,12.0058860141,28.8438181951,28.8218762947,0.0,0.99016124817,899.554051906,-0.535464423328,900.501324008,1.0
9.479999999999887,-5.24842315279,-5.38248610016,85.0455540817,5.92519300553,5.97647725161,0.0,0.42065200407,-3.0111731472,11.5694551182,28.8403411237,28.8223353446,0.0,0.368207500841,899.597383792,-0.691609774696,900.074273431,1.0
9.539999999999885,-5.22483131857,-5.56537987029,85.7515868583,1.37266340276,1.42294280872,0.0,0.0551549660127,-2.88250542805,11.917525155,28.8495549964,28.8342825184,0.0,-0.00824843079702,900.219458223,-0.865699351323,900.637077085,1.0
9.599999999999884,-5.26040018467,-5.74281979022,86.4593998567,3.10362393602,3.1531922443,0.0,-1.05121693977,-3.19475224046,11.8087053107,28.8490188787,28.8419058735,0.0,-0.150475225129,900.363542461,-0.819994901925,900.409005362,1.0
9.659999999999883,-5.31098614359,-5.92651713763,87.1766862765,4.8343333395,4.8837760894,0.0,-0.338863967104,-2.78924140773,11.8842056586,28.8386014732,28.8448316638,0.0,-0.151719875505,900.355607172,-0.392564440522,899.871858845,1.0
9.719999999999882,-5.2972553623,-6.10747673355,87.8785891003,0.281577515301,0.331300085479,0.0,0.532566737007,-3.24407056548,11.7621669648,28.8431310319,28.8455780881,0.0,0.0709801894541,900.332255714,0.271037148582,900.337917495,1.0
9.77999999999988,-5.28841044252,-6.29208074016,88.5924199114,2.01224962583,2.06202634543,0.0,-0.471307261744,-2.94569845898,11.8386289325,28.8465679965,28.8452247435,0.0,0.387724817155,900.294170859,0.140322979346,900.418253849,1.0
9.839999999999879,-5.34186988063,-6.48376894101,89.3041684717,3.74291950405,3.79263647851,0.0,-1.02136421667,-3.30139943702,12.0288789935,28.841120988,28.8407186987,0.0,0.34585076603,900.065273563,0.0500584925894,900.057425275,1.0
9.899999999999878,-5.37027895176,-6.66620846425,90.0212764207,5.47359202894,5.52331215629,0.0,0.196894081252,-3.0234376342,11.674306738,28.8492231022,28.8498337548,0.0,-0.0676076123642,900.643219233,-0.553985194702,900.602383322,1.0
9.959999999999877,-5.34415584083,-6.86143964958,90.7282920515,0.921582975165,0.971360682989,0.0,0.376028927569,-3.2477995438,11.9905635497,28.8579889155,28.8593712727,0.0,-0.0909406379108,900.954413291,-0.407864189057,900.894661801,1.0
10.019999999999875,-5.36021222552,-7.04952332346,91.4441026262,2.65298349542,2.70325736099,0.0,-0.898509691066,-3.28097317197,11.8364953187,28.8546081322,28.8721527706,0.0,-0.58853068388,901.419093792,-0.301483994958,900.521504229,1.0
10.079999999999874,-5.41673028703,-7.2503835632,92.1645317916,4.384418303,4.435589119,0.0,-0.676774858398,-3.14725080248,12.1399886688,28.8609348722,28.872261077,0.0,-0.32094062109,901.148075323,-0.071620085662,900.929184462,1.0
10.139999999999873,-5.41757904303,-7.43913930722,92.8760762774,6.11603440077,6.16771778961,0.0,0.50343435286,-3.40157106537,11.751781515,28.859240938,28.8629671233,0.0,0.153306833824,900.654338097,-0.118748762771,900.70261512,1.0
10.199999999999871,-5.39551354653,-7.64078297019,93.5928047822,1.56437471212,1.61631048985,0.0,-0.0747492686333,-3.17058596776,12.0386726049,28.8581529443,28.8630935628,0.0,0.146821576589,900.866388553,-0.0123852926247,900.685890873,1.0
10.25999999999987,-5.43626809863,-7.84037143901,94.3091390652,3.29595191858,3.3479251211,0.0,-1.04072227499,-3.5541297245,11.9971852564,28.8616927736,28.8554657929,0.0,0.302660526037,900.458814207,-0.345056837654,900.895125069,1.0
10.319999999999869,-5.47962880706,-8.04136123977,95.0349509263,5.02750826365,5.07919479993,0.0,-0.14112070167,-3.1134965048,11.930041009,28.8553193255,28.8529831606,0.0,0.142685261537,900.490189643,-0.339264689196,900.47888252,1.0
10.379999999999868,-5.45907488438,-8.2448929594,95.7448192321,0.475488427717,0.527003266738,0.0,0.541809330336,-3.56558558667,11.9513789502,28.848404585,28.8445824266,0.0,0.488170655182,900.10697913,-0.268132649813,900.258547296,1.0
10.439999999999866,-5.45581371928,-8.44785162547,96.4669825676,2.20627418924,2.25753863163,0.0,-0.603801845362,-3.32970964415,11.9369408593,28.8432515043,28.8384681145,0.0,0.562717451926,899.958345471,-0.0248639443527,900.128521528,1.0
10.499999999999865,-5.51038587848,-8.66137715138,97.1882552745,3.93671665928,3.98787130471,0.0,-0.923817603183,-3.57330079169,12.2098234619,28.8365490553,28.8395016681,0.0,0.163678724843,900.151208121,-0.499922911552,899.89140066,1.0
10.559999999999864,-5.52891683962,-8.86250431507,97.9106122842,5.66668424833,5.7180732657,0.0,0.347199640872,-3.44901920143,11.7786452298,28.8263557702,28.8320598055,0.0,0.114285447274,899.729478469,0.368148838935,899.491674875,1.0
